Shooter,field_goal_attempts,offensive_rebounds,offensive_rebounds_per_100_fga,player
S. Adams - adamsst01,530,241.0,45.471698113207545,S. Adams
R. Gobert - goberru01,631,254.0,40.253565768621236,R. Gobert
T. Thompson - thomptr01,562,226.0,40.213523131672595,T. Thompson
H. Whiteside - whiteha01,732,266.0,36.33879781420765,H. Whiteside
A. Drummond - drumman01,784,250.0,31.887755102040817,A. Drummond
D. Theis - theisda01,543,172.0,31.67587476979742,D. Theis
J. Valančiūnas - valanjo01,755,217.0,28.741721854304636,J. Valančiūnas
D. Finney-Smith - finnedo01,574,157.0,27.35191637630662,D. Finney-Smith
P. Tucker - tuckepj01,514,135.0,26.264591439688715,P. Tucker
D. Ayton - aytonde01,568,147.0,25.880281690140844,D. Ayton
P. Millsap - millspa01,556,124.0,22.302158273381295,P. Millsap
D. Sabonis - sabondo01,848,189.0,22.287735849056602,D. Sabonis
B. Adebayo - adebaba01,1010,223.0,22.07920792079208,B. Adebayo
M. Kleber - klebima01,553,122.0,22.06148282097649,M. Kleber
C. Wood - woodch01,508,104.0,20.47244094488189,C. Wood
